Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	Рассказчик (ЭДЕ)
00:00:00.599	00:00:02.798	00:00:02.199	Я Алексеева Анна.
00:00:02.800	00:00:04.788	00:00:01.988	Аа я ...(0.5) н= || совсем |E|  
00:00:04.788	00:00:06.719	00:00:01.931	ну вот наверное на этой неделе, ...(0.4)
00:00:06.720	00:00:09.160	00:00:02.440	аа(0.2) лазила в инстаграме,
00:00:09.160	00:00:10.622	00:00:01.462	и наткнулась на шоурум.
00:00:10.815	00:00:13.249	00:00:02.434	Мне там очень сильно понравилось платье.
00:00:13.254	00:00:13.762	00:00:00.508	{ВЗДОХ}
00:00:13.768	00:00:15.183	00:00:01.415	Но так как я работаю,
00:00:15.271	00:00:16.241	00:00:00.970	и не могу поехать, 
00:00:16.340	00:00:20.048	00:00:03.708	я попросила своего молодого человека съездить за этим платьем. ...(0.8)
00:00:20.049	00:00:20.319	00:00:00.270	Вот.
00:00:20.341	00:00:21.198	00:00:00.857	Он съездил, 
00:00:21.230	00:00:21.857	00:00:00.627	приехал,
00:00:21.858	00:00:22.320	00:00:00.462	дал мне,
00:00:22.320	00:00:22.806	00:00:00.486	я померила,
00:00:22.806	00:00:23.622	00:00:00.816	мне не понравилось.
00:00:23.693	00:00:26.120	00:00:02.427	Оно как кшк= || как школьное платье было. ...(0.5)
00:00:26.130	00:00:26.459	00:00:00.329	Всё.
00:00:26.466	00:00:29.260	00:00:02.794	На следующий день я решила съездить и отвезти его. ...(0.2)
00:00:29.264	00:00:30.342	00:00:01.078	Приезжаю, ...(0.3)
00:00:30.342	00:00:31.201	00:00:00.859	даю платье,
00:00:31.287	00:00:32.202	00:00:00.915	мне дают бланк,
00:00:32.365	00:00:34.097	00:00:01.732	я заполняю этот бланк |S| 
00:00:34.114	00:00:35.625	00:00:01.511	Аа девушка мне такая говорит
00:00:35.876	00:00:39.198	00:00:03.322	«Ваше платье в ужаснейшем состоянии» ...(0.5)
00:00:39.227	00:00:40.201	00:00:00.974	Хотя ээ ну |E|
00:00:40.261	00:00:41.322	00:00:01.061	платье я только померила,
00:00:41.436	00:00:42.055	00:00:00.619	сняла и всё,
00:00:42.111	00:00:43.235	00:00:01.124	больше ничего с ним не делала.
00:00:43.621	00:00:44.797	00:00:01.176	А там такая ткань |Е|
00:00:44.805	00:00:47.403	00:00:02.598	на которую всё-всё на свете липнет. ...(0.8)
00:00:47.410	00:00:48.260	00:00:00.850	Вот. ...(0.5)
00:00:48.264	00:00:50.111	00:00:01.847	А (0.2) она отделала липкой лентой,
00:00:50.420	00:00:50.713	00:00:00.293	Я говорю,
00:00:50.717	00:00:53.302	00:00:02.585	«Ну вот отделывайте дальше» ...(1.0)
00:00:53.302	00:00:55.162	00:00:01.860	Потом я заполнила бланк, ...(0.6)
00:00:55.163	00:00:56.124	00:00:00.961	а(0.2) и она говорит,
00:00:56.127	00:00:57.993	00:00:01.866	«Нужна карта, которой оплачивали |Е|
00:00:57.997	00:00:59.629	00:00:01.632	оплачивали вы» ...(0.5)
00:00:59.630	00:01:00.065	00:00:00.435	Всё.
