Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	default
00:00:03.940	00:00:04.430	00:00:00.490	В общем, ...(0.6)
00:00:04.450	00:00:08.790	00:00:04.340	это произошло на моих новогодних каникулах |S| ...(0.2)
00:00:08.810	00:00:09.230	00:00:00.420	В общем,
00:00:09.250	00:00:11.550	00:00:02.300	я как приехал с поезда,
00:00:11.560	00:00:13.650	00:00:02.090	я сразу написал всем своим друзьям:
00:00:13.660	00:00:17.470	00:00:03.810	нужно обязательно всем-всем собра-а-ться,
00:00:17.490	00:00:23.460	00:00:05.970	а(0.5) м(0.5) отметить как бы предстоящие новогодние праздники |Е|
00:00:23.480	00:00:26.420	00:00:02.940	(Ну я приехал ...(0.2) там двадцать девятого тридцатого числа,
00:00:26.440	00:00:26.910	00:00:00.470	по-моему,
00:00:26.920	00:00:28.120	00:00:01.200	ну где-то вот так вот,)
00:00:28.130	00:00:31.180	00:00:03.050	 и сразу как бы я хотел встретиться со всеми,
00:00:31.180	00:00:31.730	00:00:00.550	ну потому что |E|
00:00:31.730	00:00:33.020	00:00:01.290	ну давно не виделись уже,
00:00:33.040	00:00:33.750	00:00:00.710	вот.
00:00:33.760	00:00:35.910	00:00:02.150	А(0.3) и непосредственно,
00:00:35.930	00:00:38.420	00:00:02.490	уже на-а тридцать первое,
00:00:38.430	00:00:41.900	00:00:03.470	мы собрались на квартире у моего друга, ...(0.3) |E|
00:00:41.940	00:00:44.830	00:00:02.890	(Там было человек шесть или семь,
00:00:44.850	00:00:46.550	00:00:01.700	ну где-то так вот примерно,
00:00:46.560	00:00:47.040	00:00:00.480	вот.)
00:00:47.050	00:00:49.240	00:00:02.190	Сначала мы а(0.1) как бы собрались,
00:00:49.250	00:00:51.580	00:00:02.330	давно не видели друг друга,
00:00:51.620	00:00:52.020	00:00:00.400	вот,
00:00:52.050	00:00:53.550	00:00:01.500	 прочее там пятое-десятое, ...(0.7)
00:00:53.560	00:00:58.470	00:00:04.910	а потом а(0.2) в ход пошел алкоголь, ...(0.2)
00:00:58.500	00:00:59.590	00:00:01.090	во-о-т,
00:00:59.620	00:01:02.420	00:00:02.800	и там уже ну прям такая тусовка,
00:01:02.440	00:01:03.160	00:00:00.720	весело,
00:01:03.170	00:01:04.990	00:00:01.820	круто всё было, ...(0.6)
00:01:05.010	00:01:05.880	00:00:00.870	во-о-т,
00:01:05.890	00:01:09.520	00:00:03.630	что там еще было м(0.6),
00:01:09.530	00:01:10.860	00:00:01.330	по-моему..
00:01:10.880	00:01:11.380	00:00:00.500	Вот,
00:01:11.380	00:01:11.620	00:00:00.240	 да,
00:01:11.630	00:01:12.400	00:00:00.770	после двенадцати,
